Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
Canarias,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",6.0
Canarias,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Canarias,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Canarias,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Canarias,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,4.0
Canarias,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Canarias,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",96.0
Canarias,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,8.0
Canarias,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Canarias,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",2.0
Canarias,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",3.0
Canarias,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Canarias,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Canarias,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Canarias,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,10.0
Canarias,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Canarias,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,40.0
Canarias,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Canarias,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Canarias,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Canarias,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Canarias,Mujeres,Total,53.0
Canarias,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Canarias,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",2.0
Canarias,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Canarias,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Canarias,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",2.0
Canarias,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Canarias,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
Canarias,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
Canarias,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Canarias,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",2.0
Canarias,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",18.0
Canarias,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,0.0
Canarias,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Canarias,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Canarias,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Canarias,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Canarias,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Canarias,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",1.0
Canarias,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Canarias,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Canarias,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,21.0
Canarias,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Canarias,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Canarias,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Canarias,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Cantabria,Ambos sexos,Total,59.0
Cantabria,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Cantabria,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",4.0
Cantabria,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Cantabria,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Cantabria,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Cantabria,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Cantabria,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cantabria,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Cantabria,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cantabria,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Cantabria,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",25.0
Cantabria,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Cantabria,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Cantabria,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
Cantabria,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",2.0
Cantabria,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cantabria,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cantabria,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Cantabria,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,2.0
Cantabria,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cantabria,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,16.0
Cantabria,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Cantabria,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cantabria,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Cantabria,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Cantabria,Hombres,Total,39.0
Cantabria,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Cantabria,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",1.0
Cantabria,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Cantabria,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Cantabria,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Cantabria,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Cantabria,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cantabria,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Cantabria,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cantabria,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Cantabria,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",20.0
Cantabria,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Cantabria,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Cantabria,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
Cantabria,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",2.0
Cantabria,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cantabria,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cantabria,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Cantabria,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Cantabria,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cantabria,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,7.0
Cantabria,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Cantabria,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cantabria,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Cantabria,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Cantabria,Mujeres,Total,20.0
Cantabria,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Cantabria,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",3.0
Cantabria,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Cantabria,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Cantabria,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Cantabria,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Cantabria,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cantabria,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Cantabria,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cantabria,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Cantabria,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",5.0
Cantabria,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,0.0
Cantabria,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Cantabria,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Cantabria,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Cantabria,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cantabria,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cantabria,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Cantabria,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
Cantabria,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cantabria,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,9.0
Cantabria,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Cantabria,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cantabria,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Cantabria,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Castilla y León,Ambos sexos,Total,242.0
Castilla y León,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Castilla y León,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",15.0
Castilla y León,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",2.0
Castilla y León,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla y León,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",8.0
Castilla y León,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Castilla y León,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla y León,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Castilla y León,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla y León,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",5.0
Castilla y León,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",107.0
Castilla y León,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,13.0
Castilla y León,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Castilla y León,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
Castilla y León,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",2.0
Castilla y León,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla y León,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",5.0
Castilla y León,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla y León,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,13.0
Castilla y León,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla y León,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,57.0
Castilla y León,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,4.0
Castilla y León,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,3.0
Castilla y León,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Castilla y León,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,2.0
Castilla y León,Hombres,Total,179.0
Castilla y León,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Castilla y León,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",2.0
Castilla y León,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Castilla y León,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla y León,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
Castilla y León,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Castilla y León,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla y León,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
Castilla y León,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla y León,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",4.0
Castilla y León,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",96.0
Castilla y León,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,8.0
Castilla y León,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Castilla y León,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",3.0
Castilla y León,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",2.0
Castilla y León,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla y León,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",4.0
Castilla y León,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla y León,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,10.0
Castilla y León,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla y León,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,35.0
Castilla y León,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,4.0
Castilla y León,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Castilla y León,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Castilla y León,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,2.0
Castilla y León,Mujeres,Total,63.0
Castilla y León,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Castilla y León,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",13.0
Castilla y León,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",1.0
Castilla y León,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla y León,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",5.0
Castilla y León,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Castilla y León,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla y León,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Castilla y León,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla y León,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
Castilla y León,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",11.0
Castilla y León,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,5.0
Castilla y León,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Castilla y León,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Castilla y León,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Castilla y León,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla y León,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",1.0
Castilla y León,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla y León,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,3.0
Castilla y León,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla y León,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,22.0
Castilla y León,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Castilla y León,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Castilla y León,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Castilla y León,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Castilla-La Mancha,Ambos sexos,Total,184.0
Castilla-La Mancha,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",2.0
Castilla-La Mancha,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",5.0
Castilla-La Mancha,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",3.0
Castilla-La Mancha,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla-La Mancha,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",6.0
Castilla-La Mancha,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Castilla-La Mancha,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla-La Mancha,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,4.0
Castilla-La Mancha,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla-La Mancha,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Castilla-La Mancha,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",113.0
Castilla-La Mancha,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,4.0
Castilla-La Mancha,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,3.0
Castilla-La Mancha,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",7.0
Castilla-La Mancha,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Castilla-La Mancha,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla-La Mancha,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Castilla-La Mancha,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla-La Mancha,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,3.0
Castilla-La Mancha,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla-La Mancha,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,25.0
Castilla-La Mancha,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,5.0
Castilla-La Mancha,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,2.0
Castilla-La Mancha,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Castilla-La Mancha,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Castilla-La Mancha,Hombres,Total,147.0
Castilla-La Mancha,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Castilla-La Mancha,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",2.0
Castilla-La Mancha,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",3.0
Castilla-La Mancha,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla-La Mancha,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",2.0
Castilla-La Mancha,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Castilla-La Mancha,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla-La Mancha,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,4.0
Castilla-La Mancha,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla-La Mancha,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Castilla-La Mancha,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",96.0
Castilla-La Mancha,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
Castilla-La Mancha,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,2.0
Castilla-La Mancha,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",7.0
